Chinese,English,Category,Notes
细纹,hot pressed,Paper Type,"Paper manufactured with a smooth surface, dries faster"
中粗纹,cold pressed,Paper Type,"Paper with medium texture, recommended for beginners"
粗纹,rough,Paper Type,Paper with heavy texture
纯棉,100% cotton,Paper Type,Material composition of quality watercolor paper
水彩纸,watercolor paper,Paper Type,General term
晕染,blending / wet blending,Technique,"Intentional soft diffusion of color on wet paper, controlled bleeding"
水痕,bloom,Technique,"Hard edge or mark left by water when wet meets drying area; also called backrun"
湿画法,wet-on-wet,Technique,Painting onto a pre-wetted surface
趁湿画,painting while wet,Technique,Applying paint while the surface is still wet
洗颜色 / 擦颜色,lifting,Technique,Removing pigment from paper with a clean damp brush
罩色,glazing,Technique,Applying a transparent layer over dried paint
留白,preserving whites,Technique,Keeping areas of paper unpainted
留白胶,masking fluid,Material,Liquid latex applied to preserve white areas
猪皮胶,rubber cement pickup,Material,Tool for removing dried masking fluid
土黄,yellow ochre,Color,Warm earthy yellow pigment
熟赭,burnt sienna,Color,Warm reddish-brown pigment
钴松石,cobalt turquoise,Color,Blue-green pigment
钛晶绿,titanium crystal green,Color,Schmincke-specific green pigment (not phthalo green)
五月绿,May Green,Color,Specific premixed green pigment
佩恩灰,Payne's gray,Color,Blue-toned gray pigment
中性紫灰,neutral violet-gray,Color,Mixed gray with purple undertone
水粉白,gouache white,Color,Opaque white paint used for highlights
画 (pencil stage),draw / sketch,Verb,"Used during pencil outline phase, before color"
画 (color stage),paint,Verb,"Used once watercolor pigment is applied"
素材,reference photo,General,Source image used as painting guide
调色盘,palette,Material,Surface for mixing paint
体积感,volume / form,Concept,Three-dimensional appearance in painting
肌理,texture,Concept,Surface quality or pattern in a painting
轻重,value variation,Concept,"Light and dark contrast; literally 'light and heavy'"
从浅到深,light to dark,Concept,Standard watercolor painting order
干笔 / 干扫,dry brush,Technique,Painting with minimal water for textured strokes
